Year,Month,Value
2005 ,1 ,445.0 
2005 ,2 ,447.1 
2005 ,3 ,438.2 
2005 ,4 ,454.0 
2005 ,5 ,463.5 
2005 ,6 ,469.1 
2005 ,7 ,474.0 
2005 ,8 ,478.1 
2005 ,9 ,473.3 
2005 ,10 ,460.8 
2005 ,11 ,458.7 
2005 ,12 ,437.9 
2006 ,1 ,449.4 
2006 ,2 ,438.8 
2006 ,3 ,445.3 
2006 ,4 ,463.5 
2006 ,5 ,463.4 
2006 ,6 ,472.7 
2006 ,7 ,476.8 
2006 ,8 ,479.7 
2006 ,9 ,476.9 
2006 ,10 ,471.0 
2006 ,11 ,458.8 
2006 ,12 ,448.1 
2007 ,1 ,445.4 
2007 ,2 ,443.5 
2007 ,3 ,456.7 
2007 ,4 ,457.7 
2007 ,5 ,469.7 
2007 ,6 ,470.8 
2007 ,7 ,479.1 
2007 ,8 ,485.8 
2007 ,9 ,481.5 
2007 ,10 ,462.2 
2007 ,11 ,456.4 
2007 ,12 ,453.4 
2008 ,1 ,440.9 
2008 ,2 ,439.5 
2008 ,3 ,451.0 
2008 ,4 ,460.6 
2008 ,5 ,468.2 
2008 ,6 ,472.7 
2008 ,7 ,476.8 
2008 ,8 ,483.8 
2008 ,9 ,471.2 
2008 ,10 ,465.6 
2008 ,11 ,454.9 
2008 ,12 ,447.5 
2009 ,1 ,439.7 
2009 ,2 ,446.7 
2009 ,3 ,445.2 
2009 ,4 ,453.8 
2009 ,5 ,461.0 
2009 ,6 ,475.2 
2009 ,7 ,479.5 
2009 ,8 ,484.2 
2009 ,9 ,480.8 
2009 ,10 ,468.0 
2009 ,11 ,456.8 
2009 ,12 ,452.2 
2010 ,1 ,440.4 
2010 ,2 ,449.9 
2010 ,3 ,448.3 
2010 ,4 ,455.7 
2010 ,5 ,467.2 
2010 ,6 ,468.7 
2010 ,7 ,480.4 
2010 ,8 ,481.1 
2010 ,9 ,480.7 
2010 ,10 ,468.8 
2010 ,11 ,465.1 
2010 ,12 ,448.4 
2011 ,1 ,437.0 
2011 ,2 ,445.0 
2011 ,3 ,441.2 
2011 ,4 ,452.7 
2011 ,5 ,467.1 
2011 ,6 ,473.6 
2011 ,7 ,484.2 
2011 ,8 ,489.6 
2011 ,9 ,478.9 
2011 ,10 ,466.2 
2011 ,11 ,462.0 
2011 ,12 ,447.7 
2012 ,1 ,446.5 
2012 ,2 ,442.4 
2012 ,3 ,452.9 
2012 ,4 ,455.8 
2012 ,5 ,466.8 
2012 ,6 ,476.4 
2012 ,7 ,484.3 
2012 ,8 ,493.3 
2012 ,9 ,481.6 
2012 ,10 ,476.9 
2012 ,11 ,465.7 
2012 ,12 ,447.9 
2013 ,1 ,449.1 
2013 ,2 ,444.1 
2013 ,3 ,450.0 
2013 ,4 ,463.8 
2013 ,5 ,473.6 
2013 ,6 ,475.3 
2013 ,7 ,484.7 
2013 ,8 ,486.9 
2013 ,9 ,474.4 
2013 ,10 ,470.5 
2013 ,11 ,456.6 
2013 ,12 ,449.5 
2014 ,1 ,445.9 
2014 ,2 ,453.0 
2014 ,3 ,456.9 
2014 ,4 ,461.8 
2014 ,5 ,473.5 
2014 ,6 ,478.0 
2014 ,7 ,477.1 
2014 ,8 ,483.4 
2014 ,9 ,479.2 
2014 ,10 ,475.0 
2014 ,11 ,457.9 
2014 ,12 ,441.6 
2015 ,1 ,443.9 
2015 ,2 ,447.5 
2015 ,3 ,446.1 
2015 ,4 ,456.9 
2015 ,5 ,466.2 
2015 ,6 ,473.0 
2015 ,7 ,480.7 
2015 ,8 ,487.1 
2015 ,9 ,481.7 
2015 ,10 ,467.9 
2015 ,11 ,464.6 
2015 ,12 ,454.9 
2016 ,1 ,447.3 
2016 ,2 ,444.6 
2016 ,3 ,452.7 
2016 ,4 ,467.7 
2016 ,5 ,469.8 
2016 ,6 ,478.9 
2016 ,7 ,480.4 
2016 ,8 ,484.6 
2016 ,9 ,487.0 
2016 ,10 ,475.0 
2016 ,11 ,465.6 
2016 ,12 ,454.3 
2017 ,1 ,449.8 
2017 ,2 ,446.6 
2017 ,3 ,455.6 
2017 ,4 ,463.3 
2017 ,5 ,460.8 
2017 ,6 ,474.2 
2017 ,7 ,482.7 
2017 ,8 ,485.0 
2017 ,9 ,480.1 
2017 ,10 ,470.8 
2017 ,11 ,452.3 
2017 ,12 ,441.7 
2018 ,1 ,441.3 
2018 ,2 ,439.8 
2018 ,3 ,447.8 
2018 ,4 ,454.0 
2018 ,5 ,470.5 
2018 ,6 ,475.5 
2018 ,7 ,483.6 
2018 ,8 ,490.6 
2018 ,9 ,480.1 
2018 ,10 ,464.1 
2018 ,11 ,459.4 
2018 ,12 ,452.4 
2019 ,1 ,451.2 
2019 ,2 ,448.7 
2019 ,3 ,456.8 
2019 ,4 ,461.5 
2019 ,5 ,467.4 
2019 ,6 ,473.8 
2019 ,7 ,482.8 
2019 ,8 ,485.5 
2019 ,9 ,479.7 
2019 ,10 ,474.4 
2019 ,11 ,459.8 
2019 ,12 ,451.7 
2020 ,1 ,456.0 
2020 ,2 ,452.8 
2020 ,3 ,454.2 
2020 ,4 ,458.3 
2020 ,5 ,470.6 
2020 ,6 ,481.6 
2020 ,7 ,480.1 
2020 ,8 ,492.0 
2020 ,9 ,489.0 
2020 ,10 ,475.1 
2020 ,11 ,458.7 
2020 ,12 ,451.1 
2021 ,1 ,451.3 
2021 ,2 ,454.0 
2021 ,3 ,455.3 
2021 ,4 ,462.9 
2021 ,5 ,472.8 
2021 ,6 ,480.5 
2021 ,7 ,487.5 
2021 ,8 ,489.8 
2021 ,9 ,487.3 
2021 ,10 ,473.9 
2021 ,11 ,461.4 
2021 ,12 ,448.5 
2022 ,1 ,453.8 
2022 ,2 ,452.2 
2022 ,3 ,461.1 
2022 ,4 ,459.0 
2022 ,5 ,469.4 
2022 ,6 ,484.7 
2022 ,7 ,490.4 
2022 ,8 ,490.3 
2022 ,9 ,485.1 
2022 ,10 ,467.9 
2022 ,11 ,465.3 
2022 ,12 ,442.4 
2023 ,1 ,452.5 
2023 ,2 ,452.6 
2023 ,3 ,452.9 
2023 ,4 ,464.2 
2023 ,5 ,472.1 
2023 ,6 ,480.7 
2023 ,7 ,488.2 
2023 ,8 ,493.4 
2023 ,9 ,488.0 
2023 ,10 ,472.5 
2023 ,11 ,458.2 
2023 ,12 ,449.8 
2024 ,1 ,452.5 
2024 ,2 ,457.9 
